"Rank","City","State","Total cases as of 3/30"
899,"Muskogee","Oklahoma",34
900,"Yuma","Arizona",33
901,"Bradley","Arkansas",33
902,"Franklin","Kansas",33
903,"Union","Louisiana",33
904,"Fillmore","Minnesota",33
905,"Montgomery","Mississippi",33
906,"Defiance","Ohio",33
907,"Mercer","Pennsylvania",33
908,"Fairfield","South Carolina",33
909,"Carroll","Tennessee",33
910,"Kendall","Texas",33
911,"Hanover","Virginia",33
912,"Cedar","Iowa",32
913,"Evangeline","Louisiana",32
914,"Grand Traverse","Michigan",32
915,"Clay","Minnesota",32
916,"Yazoo","Mississippi",32
917,"Wayne","North Carolina",32
918,"Klamath","Oregon",32
919,"Lawrence","Pennsylvania",32
920,"Anderson","Tennessee",32
921,"Randall","Texas",32
922,"Jackson","Alabama",31
923,"Talladega","Alabama",31
924,"Bryan","Georgia",31
925,"Coffee","Georgia",31
926,"Crisp","Georgia",31
927,"Lawrence","Indiana",31
928,"Poweshiek","Iowa",31
929,"East Feliciana","Louisiana",31
930,"Franklin","Missouri",31
931,"Carbon","Pennsylvania",31
932,"Pennington","South Dakota",31
933,"Harrison","West Virginia",31
934,"Calhoun","Alabama",30
935,"Cleveland","Arkansas",30
936,"Elbert","Colorado",30
937,"Effingham","Georgia",30
938,"Lumpkin","Georgia",30
939,"Rock Island","Illinois",30
940,"Jackson","Indiana",30
941,"Cerro Gordo","Iowa",30
942,"Montcalm","Michigan",30
943,"Panola","Mississippi",30
944,"Winston","Mississippi",30
945,"Buffalo","Nebraska",30
946,"Schoharie","New York",30
947,"Nash","North Carolina",30
948,"Lee","South Carolina",30
949,"Frederick","Virginia",30
950,"Rockingham","Virginia",30
951,"Houston","Alabama",29
952,"Colquitt","Georgia",29
953,"Warrick","Indiana",29
954,"Wabasha","Minnesota",29
955,"Leake","Mississippi",29
956,"Brown","Texas",29
957,"Potter","Texas",29
958,"Orleans","Vermont",29
959,"Hampton","Virginia",29
960,"Douglas","Washington",29
961,"Graham","Arizona",28
962,"White","Arkansas",28
963,"Bay","Florida",28
964,"Butts","Georgia",28
965,"Lamar","Georgia",28
966,"Washington","Indiana",28
967,"Hopkins","Kentucky",28
968,"Beauregard","Louisiana",28
969,"Franklin","Mississippi",28
970,"Clark","Ohio",28
971,"Erie","Ohio",28
972,"Greene","Pennsylvania",28
973,"Mecklenburg","Virginia",28
974,"Inyo","California",27
975,"LaSalle","Illinois",27
976,"Christian","Kentucky",27
977,"Franklin","Kentucky",27
978,"Jessamine","Kentucky",27
979,"Madison","Kentucky",27
980,"Itawamba","Mississippi",27
981,"Camden","Missouri",27
982,"Chautauqua","New York",27
983,"Carroll","Ohio",27
984,"Darke","Ohio",27
985,"Custer","Oklahoma",27
986,"Garvin","Oklahoma",27
987,"Box Elder","Utah",27
988,"Etowah","Alabama",26
989,"Teton","Idaho",26
990,"Christian","Illinois",26
991,"DeKalb","Illinois",26
992,"Putnam","Indiana",26
993,"Bourbon","Kentucky",26
994,"Henderson","Kentucky",26
995,"Choctaw","Mississippi",26
996,"Jasper","Missouri",26
997,"Douglas","Nevada",26
998,"Davie","North Carolina",26
999,"Columbia","Pennsylvania",26
1000,"McCook","South Dakota",26
1001,"Dyer","Tennessee",26
1002,"Taylor","Texas",26
1003,"Adams","Washington",26
1004,"Marshall","West Virginia",26
1005,"Grant","Arkansas",25
1006,"Independence","Arkansas",25
1007,"Poinsett","Arkansas",25
1008,"Siskiyou","California",25
1009,"Grand","Colorado",25
1010,"Columbia","Florida",25
1011,"Monroe","Georgia",25
1012,"Thomas","Georgia",25
1013,"Jasper","Indiana",25
1014,"Hardin","Kentucky",25
1015,"Claiborne","Louisiana",25
1016,"Waseca","Minnesota",25
1017,"Lamar","Mississippi",25
1018,"Cass","Nebraska",25
1019,"Huron","Ohio",25
1020,"Union","Ohio",25
1021,"Logan","Oklahoma",25
1022,"Abbeville","South Carolina",25
1023,"Chesterfield","South Carolina",25
1024,"Greenwood","South Carolina",25
1025,"Monroe","Tennessee",25
1026,"Wharton","Texas",25
1027,"Walla Walla","Washington",25
1028,"Chippewa","Wisconsin",25
1029,"Marshall","Alabama",24
1030,"Mohave","Arizona",24
1031,"Yuba","California",24
1032,"Noble","Indiana",24
1033,"Coffey","Kansas",24
1034,"Crawford","Kansas",24
1035,"Morris","Kansas",24
1036,"Garrett","Maryland",24
1037,"Isabella","Michigan",24
1038,"Sherburne","Minnesota",24
1039,"Granville","North Carolina",24
1040,"Madison","Ohio",24
1041,"Davison","South Dakota",24
1042,"Franklin","Tennessee",24
1043,"Victoria","Texas",24
1044,"Cache","Utah",24
1045,"Prince Edward","Virginia",24
1046,"Danville","Virginia",24
1047,"Ohio","West Virginia",24
1048,"Union","Arkansas",23
1049,"Logan","Colorado",23
1050,"Miller","Georgia",23
1051,"Woodbury","Iowa",23
1052,"Muhlenberg","Kentucky",23
1053,"Emmet","Michigan",23
1054,"Lapeer","Michigan",23
1055,"Rice","Minnesota",23
1056,"Winona","Minnesota",23
1057,"Pontotoc","Mississippi",23
1058,"Dunklin","Missouri",23
1059,"Hamilton","New York",23
1060,"McDowell","North Carolina",23
1061,"Ramsey","North Dakota",23
1062,"Greene","Ohio",23
1063,"Bowie","Texas",23
1064,"DeWitt","Texas",23
1065,"Grimes","Texas",23
1066,"Terry","Texas",23
1067,"Washington","Texas",23
1068,"Fauquier","Virginia",23
1069,"Green","Wisconsin",23
1070,"Carbon","Wyoming",23
1071,"Blount","Alabama",22
1072,"Juneau","Alaska",22
1073,"Mendocino","California",22
1074,"Madison","Idaho",22
1075,"Gibson","Indiana",22
1076,"Montgomery","Indiana",22
1077,"Benton","Iowa",22
1078,"Hancock","Iowa",22
1079,"Kalkaska","Michigan",22
1080,"Tuscola","Michigan",22
1081,"Jones","Mississippi",22
1082,"Webster","Mississippi",22
1083,"St. Francois","Missouri",22
1084,"Broadwater","Montana",22
1085,"Madison","Montana",22
1086,"Cleveland","North Carolina",22
1087,"Oconee","South Carolina",22
1088,"McMinn","Tennessee",22
1089,"Marion","Tennessee",22
1090,"Grayson","Texas",22
1091,"Tom Green","Texas",22
1092,"Accomack","Virginia",22
1093,"Shenandoah","Virginia",22
1094,"Mercer","West Virginia",22
1095,"Tucker","West Virginia",22
1096,"Baldwin","Georgia",21
1097,"Whiteside","Illinois",21
1098,"Adams","Indiana",21
1099,"Queen Anne's","Maryland",21
1100,"Talbot","Maryland",21
1101,"Worcester","Maryland",21
1102,"Grenada","Mississippi",21
1103,"Elko","Nevada",21
1104,"Franklin","New York",21
1105,"Beaufort","North Carolina",21
1106,"Bertie","North Carolina",21
1107,"Hoke","North Carolina",21
1108,"Wayne","Ohio",21
1109,"Colleton","South Carolina",21
1110,"Hamblen","Tennessee",21
1111,"Bastrop","Texas",21
1112,"Calhoun","Texas",21
1113,"Eastland","Texas",21
1114,"Rusk","Texas",21
1115,"Washington","Alabama",20
1116,"Cochise","Arizona",20
1117,"Charlton","Georgia",20
1118,"Dawson","Georgia",20
1119,"Meriwether","Georgia",20
1120,"Bannock","Idaho",20
1121,"Tipton","Indiana",20
1122,"Cherokee","Kansas",20
1123,"Nelson","Kentucky",20
1124,"Burke","North Carolina",20
1125,"Montgomery","North Carolina",20
1126,"Noble","Oklahoma",20
1127,"Jasper","South Carolina",20
1128,"Bon Homme","South Dakota",20
1129,"Charles Mix","South Dakota",20
1130,"Val Verde","Texas",20
1131,"Bedford","Virginia",20
1132,"Isle of Wight","Virginia",20
1133,"Lee","Virginia",20
1134,"San Juan","Washington",20
1135,"Johnson","Wyoming",20
1136,"Unassigned","Florida",20
1137,"Unassigned","Missouri",20
1138,"Cleburne","Alabama",19
1139,"Franklin","Alabama",19
1140,"Sutter","California",19
1141,"Randolph","Georgia",19
1142,"Winneshiek","Iowa",19
1143,"Anderson","Kentucky",19
1144,"Boone","Kentucky",19
1145,"Van Buren","Michigan",19
1146,"Union","Mississippi",19
1147,"Newton","Missouri",19
1148,"Scott","Missouri",19
1149,"Toole","Montana",19
1150,"Caldwell","North Carolina",19
1151,"Pierce","North Dakota",19
1152,"Ashland","Ohio",19
1153,"Jefferson","Ohio",19
1154,"Delaware","Oklahoma",19
1155,"Jackson","Oklahoma",19
1156,"Chambers","Texas",19
1157,"Lavaca","Texas",19
1158,"Milam","Texas",19
1159,"Parker","Texas",19
1160,"Culpeper","Virginia",19
1161,"Fluvanna","Virginia",19
1162,"Franklin","Virginia",19
1163,"Mason","Washington",19
1164,"Iowa","Wisconsin",19
1165,"Wood","Wisconsin",19
1166,"Sebastian","Arkansas",18
1167,"Lincoln","Georgia",18
1168,"Nez Perce","Idaho",18
1169,"Twin Falls","Idaho",18
1170,"Monroe","Illinois",18
1171,"Carroll","Iowa",18
1172,"Jasper","Iowa",18
1173,"Marshall","Iowa",18
1174,"Bienville","Louisiana",18
1175,"Knox","Maine",18
1176,"Shiawassee","Michigan",18
1177,"Chisago","Minnesota",18
1178,"Salem","New Jersey",18
1179,"Hertford","North Carolina",18
1180,"Lenoir","North Carolina",18
1181,"Lincoln","North Carolina",18
1182,"Transylvania","North Carolina",18
1183,"Clinton","Ohio",18
1184,"Logan","Ohio",18
1185,"Pickaway","Ohio",18
1186,"Adair","Oklahoma",18
1187,"Grady","Oklahoma",18
1188,"Gibson","Tennessee",18
1189,"Atascosa","Texas",18
1190,"Medina","Texas",18
1191,"Walker","Texas",18
1192,"Columbia","Washington",18
1193,"Grays Harbor","Washington",18
1194,"Stevens","Washington",18
1195,"Putnam","West Virginia",18
1196,"Dunn","Wisconsin",18
1197,"Pike","Alabama",17
1198,"Searcy","Arkansas",17
1199,"Amador","California",17
1200,"Burke","Georgia",17
1201,"Decatur","Georgia",17
1202,"Irwin","Georgia",17
1203,"Madison","Georgia",17
1204,"Seminole","Georgia",17
1205,"Turner","Georgia",17
1206,"Bingham","Idaho",17
1207,"Cumberland","Illinois",17
1208,"Jackson","Illinois",17
1209,"Wells","Indiana",17
1210,"Story","Iowa",17
1211,"Mitchell","Kansas",17
1212,"McCracken","Kentucky",17
1213,"Gladwin","Michigan",17
1214,"Renville","Minnesota",17
1215,"Perry","Mississippi",17
1216,"Quitman","Mississippi",17
1217,"Henry","Missouri",17
1218,"Moniteau","Missouri",17
1219,"Robeson","North Carolina",17
1220,"Hancock","Ohio",17
1221,"Knox","Ohio",17
1222,"McClain","Oklahoma",17
1223,"Houston","Tennessee",17
1224,"Madison","Tennessee",17
1225,"Botetourt","Virginia",17
1226,"Rockbridge","Virginia",17
1227,"Lynchburg","Virginia",17
1228,"Marengo","Alabama",16
1229,"Santa Cruz","Arizona",16
1230,"Desha","Arkansas",16
1231,"Yuma","Colorado",16
1232,"Upson","Georgia",16
1233,"Henry","Iowa",16
1234,"Bourbon","Kansas",16
1235,"Scott","Kentucky",16
1236,"Natchitoches","Louisiana",16
1237,"Calhoun","Mississippi",16
1238,"Marion","Mississippi",16
1239,"Adams","Nebraska",16
1240,"Cheshire","New Hampshire",16
1241,"Lee","North Carolina",16
1242,"Vance","North Carolina",16
1243,"Mayes","Oklahoma",16
1244,"Ottawa","Oklahoma",16
1245,"Calhoun","South Carolina",16
1246,"Brown","South Dakota",16
1247,"Codington","South Dakota",16
1248,"Lincoln","South Dakota",16
1249,"Scott","Tennessee",16
1250,"Manassas","Virginia",16
1251,"Marion","West Virginia",16
1252,"Bayfield","Wisconsin",16
1253,"Park","Colorado",15
1254,"Twiggs","Georgia",15
1255,"Ware","Georgia",15
1256,"Stephenson","Illinois",15
1257,"Campbell","Kentucky",15
1258,"Oldham","Kentucky",15
1259,"Vernon","Louisiana",15
1260,"Caroline","Maryland",15
1261,"Benton","Minnesota",15
1262,"Tallahatchie","Mississippi",15
1263,"Yalobusha","Mississippi",15
1264,"Cayuga","New York",15
1265,"Orleans","New York",15
1266,"Washington","Ohio",15
1267,"Pontotoc","Oklahoma",15
1268,"Clatsop","Oregon",15
1269,"Bradford","Pennsylvania",15
1270,"Clearfield","Pennsylvania",15
1271,"Lamar","Texas",15
1272,"Oldham","Texas",15
1273,"Rockwall","Texas",15
1274,"Portsmouth","Virginia",15
1275,"Lincoln","Washington",15
1276,"DeKalb","Alabama",14
1277,"Lawrence","Alabama",14
1278,"Camden","Georgia",14
1279,"Washington","Georgia",14
1280,"Jefferson","Idaho",14
1281,"Marshall","Indiana",14
1282,"Rush","Indiana",14
1283,"Sioux","Iowa",14
1284,"Breathitt","Kentucky",14
1285,"Calloway","Kentucky",14
1286,"Lyon","Kentucky",14
1287,"Leelanau","Michigan",14
1288,"Sanilac","Michigan",14
1289,"Clay","Mississippi",14
1290,"George","Mississippi",14
1291,"Humphreys","Mississippi",14
1292,"Montgomery","Missouri",14
1293,"Sullivan","New Hampshire",14
1294,"Eddy","New Mexico",14
1295,"Pasquotank","North Carolina",14
1296,"Sampson","North Carolina",14
1297,"Lincoln","Oklahoma",14
1298,"Potter","Pennsylvania",14
1299,"Chester","Tennessee",14
1300,"Perry","Tennessee",14
1301,"Deaf Smith","Texas",14
1302,"Madison","Virginia",14
1303,"Suffolk","Virginia",14
1304,"Bullock","Alabama",13
1305,"Jackson","Florida",13
1306,"Fannin","Georgia",13
1307,"Jasper","Georgia",13
1308,"Liberty","Georgia",13
1309,"Stephens","Georgia",13
1310,"Tattnall","Georgia",13
1311,"Walton","Georgia",13
1312,"Adams","Illinois",13
1313,"Grundy","Illinois",13
1314,"Livingston","Illinois",13
1315,"Tazewell","Illinois",13
1316,"Brown","Indiana",13
1317,"Adair","Iowa",13
1318,"Fayette","Iowa",13
1319,"Catahoula","Louisiana",13
1320,"Franklin","Louisiana",13
1321,"Richland","Louisiana",13
1322,"Allegan","Michigan",13
1323,"Benton","Mississippi",13
1324,"Prentiss","Mississippi",13
1325,"Lea","New Mexico",13
1326,"Rio Arriba","New Mexico",13
1327,"Stanly","North Carolina",13
1328,"Champaign","Ohio",13
1329,"Crawford","Ohio",13
1330,"Sandusky","Ohio",13
1331,"Wasco","Oregon",13
1332,"Blair","Pennsylvania",13
1333,"Lycoming","Pennsylvania",13
1334,"Somerset","Pennsylvania",13
1335,"Newberry","South Carolina",13
1336,"Claiborne","Tennessee",13
1337,"Crane","Texas",13
1338,"Fannin","Texas",13
1339,"Kaufman","Texas",13
1340,"Liberty","Texas",13
1341,"Llano","Texas",13
1342,"Van Zandt","Texas",13
1343,"Amherst","Virginia",13
1344,"Charles City","Virginia",13
1345,"Prince George","Virginia",13
1346,"Clark","Wisconsin",13
1347,"Park","Wyoming",13
1348,"Unassigned","California",13
1349,"Unassigned","Montana",13
1350,"Coosa","Alabama",12
1351,"Dallas","Alabama",12
1352,"Crowley","Colorado",12
1353,"Rio Grande","Colorado",12
1354,"Gadsden","Florida",12
1355,"Calhoun","Georgia",12
1356,"Catoosa","Georgia",12
1357,"Pulaski","Georgia",12
1358,"Washington","Illinois",12
1359,"Monona","Iowa",12
1360,"Jackson","Kansas",12
1361,"Riley","Kansas",12
1362,"Morehouse","Louisiana",12
1363,"West Feliciana","Louisiana",12
1364,"Waldo","Maine",12
1365,"Kent","Maryland",12
1366,"Cass","Michigan",12
1367,"Ionia","Michigan",12
1368,"Neshoba","Mississippi",12
1369,"Simpson","Mississippi",12
1370,"Smith","Mississippi",12
1371,"Lincoln","Missouri",12
1372,"Lincoln","Montana",12
1373,"Hall","Nebraska",12
1374,"Saunders","Nebraska",12
1375,"San Miguel","New Mexico",12
1376,"Shelby","Ohio",12
1377,"Okmulgee","Oklahoma",12
1378,"Armstrong","Pennsylvania",12
1379,"Edgefield","South Carolina",12
1380,"Saluda","South Carolina",12
1381,"Lawrence","South Dakota",12
1382,"Benton","Tennessee",12
1383,"Roane","Tennessee",12
1384,"Burnet","Texas",12
1385,"Orange","Texas",12
1386,"Caledonia","Vermont",12
1387,"Raleigh","West Virginia",12
1388,"Calumet","Wisconsin",12
1389,"Marathon","Wisconsin",12
1390,"Unassigned","Nebraska",12
1391,"Lamar","Alabama",11
1392,"Wilcox","Alabama",11
1393,"Ben Hill","Georgia",11
1394,"Harris","Georgia",11
1395,"Heard","Georgia",11
1396,"Dubois","Indiana",11
1397,"Miami","Indiana",11
1398,"Simpson","Kentucky",11
1399,"Jackson","Louisiana",11
1400,"Vermilion","Louisiana",11
1401,"Newaygo","Michigan",11
1402,"Wexford","Michigan",11
1403,"Goodhue","Minnesota",11
1404,"Adair","Missouri",11
1405,"Buchanan","Missouri",11
1406,"Clinton","Missouri",11
1407,"Taney","Missouri",11
1408,"Roosevelt","Montana",11
1409,"Nemaha","Nebraska",11
1410,"Curry","New Mexico",11
1411,"Cattaraugus","New York",11
1412,"Scotland","North Carolina",11
1413,"Pottawatomie","Oklahoma",11
1414,"Grant","Oregon",11
1415,"Union","Oregon",11
1416,"Crawford","Pennsylvania",11
1417,"Chester","South Carolina",11
1418,"Marlboro","South Carolina",11
1419,"Cannon","Tennessee",11
1420,"Lewis","Tennessee",11
1421,"Ector","Texas",11
1422,"Erath","Texas",11
1423,"Fayette","Texas",11
1424,"Hood","Texas",11
1425,"Robertson","Texas",11
1426,"San Patricio","Texas",11
1427,"Mathews","Virginia",11
1428,"Okanogan","Washington",11
1429,"Juneau","Wisconsin",11
1430,"Campbell","Wyoming",11
1431,"Colbert","Alabama",10
1432,"Greene","Alabama",10
1433,"La Paz","Arizona",10
1434,"Hinsdale","Colorado",10
1435,"Otero","Colorado",10
1436,"San Miguel","Colorado",10
1437,"Bradford","Florida",10
1438,"Baker","Georgia",10
1439,"Greene","Georgia",10
1440,"Jackson","Georgia",10
1441,"Jones","Georgia",10
1442,"Pierce","Georgia",10
1443,"Kosciusko","Indiana",10
1444,"Posey","Indiana",10
1445,"Scott","Indiana",10
1446,"Wayne","Indiana",10
1447,"Buchanan","Iowa",10
1448,"Martin","Kentucky",10
1449,"Menifee","Kentucky",10
1450,"Spencer","Kentucky",10
1451,"Grant","Louisiana",10
1452,"Somerset","Maryland",10
1453,"Barry","Michigan",10
1454,"Clare","Michigan",10
1455,"Marquette","Michigan",10
1456,"Jackson","Minnesota",10
1457,"Amite","Mississippi",10
1458,"Noxubee","Mississippi",10
1459,"Bates","Missouri",10
1460,"Ravalli","Montana",10
1461,"Cibola","New Mexico",10
1462,"Fulton","New York",10
1463,"Allen","Ohio",10
1464,"Athens","Ohio",10
1465,"Gallia","Ohio",10
1466,"Mercer","Ohio",10
1467,"Hood River","Oregon",10
1468,"Dillon","South Carolina",10
1469,"Cocke","Tennessee",10
1470,"Grundy","Tennessee",10
1471,"Hawkins","Tennessee",10
1472,"Macon","Tennessee",10
1473,"Overton","Tennessee",10
1474,"Angelina","Texas",10
1475,"Dawson","Texas",10
1476,"Nelson","Virginia",10
1477,"Mason","West Virginia",10
1478,"Wood","West Virginia",10
1479,"Vilas","Wisconsin",10
1480,"Clay","Alabama",9
1481,"Boone","Arkansas",9
1482,"Columbia","Arkansas",9
1483,"Conway","Arkansas",9
1484,"Greene","Arkansas",9
1485,"Polk","Arkansas",9
1486,"Pope","Arkansas",9
1487,"Sevier","Arkansas",9
1488,"Woodruff","Arkansas",9
1489,"Chattooga","Georgia",9
1490,"Clinch","Georgia",9
1491,"Jo Daviess","Illinois",9
1492,"Morgan","Illinois",9
1493,"Williamson","Illinois",9
1494,"Starke","Indiana",9
1495,"Kossuth","Iowa",9
1496,"Mahaska","Iowa",9
1497,"Page","Iowa",9
1498,"Laurel","Kentucky",9
1499,"Logan","Kentucky",9
1500,"Webster","Kentucky",9
1501,"Jefferson Davis","Louisiana",9
1502,"Gratiot","Michigan",9
1503,"Roscommon","Michigan",9
1504,"Cass","Minnesota",9
1505,"Wright","Missouri",9
1506,"Jefferson","Montana",9
1507,"Dare","North Carolina",9
1508,"Greene","North Carolina",9
1509,"Hyde","North Carolina",9
1510,"Muskingum","Ohio",9
1511,"Seneca","Ohio",9
1512,"Stephens","Oklahoma",9
1513,"Cambria","Pennsylvania",9
1514,"Indiana","Pennsylvania",9
1515,"Juniata","Pennsylvania",9
1516,"Williamsburg","South Carolina",9
1517,"Yankton","South Dakota",9
1518,"DeKalb","Tennessee",9
1519,"Cass","Texas",9
1520,"Hunt","Texas",9
1521,"Starr","Texas",9
1522,"Wilson","Texas",9
1523,"San Juan","Utah",9
1524,"Roanoke","Virginia",9
1525,"Warren","Virginia",9
1526,"Roanoke City","Virginia",9
1527,"Cherokee","Alabama",8
1528,"Pickens","Alabama",8
1529,"Winston","Alabama",8
1530,"Crawford","Arkansas",8
1531,"Stone","Arkansas",8
1532,"Franklin","Georgia",8
1533,"Morgan","Georgia",8
1534,"Murray","Georgia",8
1535,"Cassia","Idaho",8
1536,"Payette","Idaho",8
1537,"Valley","Idaho",8
1538,"LaGrange","Indiana",8
1539,"Wapello","Iowa",8
1540,"McPherson","Kansas",8
1541,"Pottawatomie","Kansas",8
1542,"Pointe Coupee","Louisiana",8
1543,"Franklin","Maine",8
1544,"Huron","Michigan",8
1545,"Ogemaw","Michigan",8
1546,"Beltrami","Minnesota",8
1547,"Big Stone","Minnesota",8
1548,"Carter","Missouri",8
1549,"Pemiscot","Missouri",8
1550,"Madison","Nebraska",8
1551,"Columbus","North Carolina",8
1552,"Halifax","North Carolina",8
1553,"Jackson","North Carolina",8
1554,"Mountrail","North Dakota",8
1555,"Fulton","Ohio",8
1556,"Highland","Ohio",8
1557,"Nowata","Oklahoma",8
1558,"Pittsburg","Oklahoma",8
1559,"Sequoyah","Oklahoma",8
1560,"Tillamook","Oregon",8
1561,"Laurens","South Carolina",8
1562,"Union","South Carolina",8
1563,"Hughes","South Dakota",8
1564,"Lyman","South Dakota",8
1565,"Hardin","Tennessee",8
1566,"Lincoln","Tennessee",8
1567,"Blanco","Texas",8
1568,"Falls","Texas",8
1569,"Gaines","Texas",8
1570,"Hopkins","Texas",8
1571,"Maverick","Texas",8
1572,"Nacogdoches","Texas",8
1573,"King George","Virginia",8
1574,"Northumberland","Virginia",8
1575,"Poquoson","Virginia",8
1576,"Hancock","West Virginia",8
1577,"Preston","West Virginia",8
1578,"Covington","Alabama",7
1579,"Randolph","Alabama",7
1580,"Cross","Arkansas",7
1581,"Lawrence","Arkansas",7
1582,"Pike","Arkansas",7
1583,"Delta","Colorado",7
1584,"Haralson","Georgia",7
1585,"Macon","Georgia",7
1586,"Henry","Illinois",7
1587,"Ohio","Indiana",7
1588,"Switzerland","Indiana",7
1589,"Warren","Indiana",7
1590,"Iowa","Iowa",7
1591,"Warren","Iowa",7
1592,"Doniphan","Kansas",7
1593,"Montgomery","Kansas",7
1594,"Woodson","Kansas",7
1595,"Manistee","Michigan",7
1596,"Oceana","Michigan",7
1597,"Newton","Mississippi",7
1598,"McDonald","Missouri",7
1599,"Randolph","Missouri",7
1600,"Stoddard","Missouri",7
1601,"Lake","Montana",7
1602,"Dodge","Nebraska",7
1603,"Nye","Nevada",7
1604,"Duplin","North Carolina",7
1605,"Polk","North Carolina",7
1606,"Surry","North Carolina",7
1607,"Dunn","North Dakota",7
1608,"Walsh","North Dakota",7
1609,"Marion","South Carolina",7
1610,"Brookings","South Dakota",7
1611,"Austin","Texas",7
1612,"Karnes","Texas",7
1613,"Limestone","Texas",7
1614,"Halifax","Virginia",7
1615,"Orange","Virginia",7
1616,"Washington","Virginia",7
1617,"Unassigned","Maryland",7
1618,"Butler","Alabama",6
1619,"Choctaw","Alabama",6
1620,"Russell","Alabama",6
1621,"Matanuska-Susitna","Alaska",6
1622,"Hot Spring","Arkansas",6
1623,"Kings","California",6
1624,"Fremont","Colorado",6
1625,"Huerfano","Colorado",6
1626,"Kit Carson","Colorado",6
1627,"Suwannee","Florida",6
1628,"Dodge","Georgia",6
1629,"Taylor","Georgia",6
1630,"Toombs","Georgia",6
1631,"White","Georgia",6
1632,"Wilkes","Georgia",6
1633,"Fremont","Idaho",6
1634,"Douglas","Illinois",6
1635,"Marshall","Illinois",6
1636,"DeKalb","Indiana",6
1637,"Greene","Indiana",6
1638,"Henry","Indiana",6
1639,"Orange","Indiana",6
1640,"Sullivan","Indiana",6
1641,"Des Moines","Iowa",6
1642,"Neosho","Kansas",6
1643,"Allen","Kentucky",6
1644,"Woodford","Kentucky",6
1645,"LaSalle","Louisiana",6
1646,"Winn","Louisiana",6
1647,"Iosco","Michigan",6
1648,"Mecosta","Michigan",6
1649,"Chariton","Missouri",6
1650,"Cooper","Missouri",6
1651,"Ralls","Missouri",6
1652,"Shelby","Missouri",6
1653,"Hill","Montana",6
1654,"Park","Montana",6
1655,"Gage","Nebraska",6
1656,"Lyon","Nevada",6
1657,"Person","North Carolina",6
1658,"Barnes","North Dakota",6
1659,"Foster","North Dakota",6
1660,"McLean","North Dakota",6
1661,"Fayette","Ohio",6
1662,"Lawrence","Ohio",6
1663,"Bryan","Oklahoma",6
1664,"Carter","Oklahoma",6
1665,"Lincoln","Oregon",6
1666,"Warren","Pennsylvania",6
1667,"Hutchinson","South Dakota",6
1668,"Meade","South Dakota",6
1669,"Bedford","Tennessee",6
1670,"Bledsoe","Tennessee",6
1671,"White","Tennessee",6
1672,"Coryell","Texas",6
1673,"Hale","Texas",6
1674,"Morris","Texas",6
1675,"Navarro","Texas",6
1676,"Shelby","Texas",6
1677,"Waller","Texas",6
1678,"Young","Texas",6
1679,"Nottoway","Virginia",6
1680,"Richmond","Virginia",6
1681,"Fredericksburg","Virginia",6
1682,"Radford","Virginia",6
1683,"Greenbrier","West Virginia",6
1684,"Logan","West Virginia",6
1685,"Grant","Wisconsin",6
1686,"Monroe","Wisconsin",6
1687,"Richland","Wisconsin",6
1688,"Albany","Wyoming",6
1689,"Sweetwater","Wyoming",6
1690,"Lowndes","Alabama",5
1691,"Drew","Arkansas",5
1692,"Hempstead","Arkansas",5
1693,"Lonoke","Arkansas",5
1694,"Randolph","Arkansas",5
1695,"Washington","Colorado",5
1696,"Levy","Florida",5
1697,"Long","Georgia",5
1698,"Pike","Georgia",5
1699,"Custer","Idaho",5
1700,"Gem","Idaho",5
1701,"Idaho","Idaho",5
1702,"Franklin","Illinois",5
1703,"Iroquois","Illinois",5
1704,"Macon","Illinois",5
1705,"Fountain","Indiana",5
1706,"Huntington","Indiana",5
1707,"Appanoose","Iowa",5
1708,"Clayton","Iowa",5
1709,"Clinton","Iowa",5
1710,"Shelby","Iowa",5
1711,"Ford","Kansas",5
1712,"Jefferson","Kansas",5
1713,"Osage","Kansas",5
1714,"Sumner","Kansas",5
1715,"Madison","Louisiana",5
1716,"Chippewa","Michigan",5
1717,"Missaukee","Michigan",5
1718,"Osceola","Michigan",5
1719,"Kandiyohi","Minnesota",5
1720,"Sibley","Minnesota",5
1721,"Wilkin","Minnesota",5
1722,"Atchison","Missouri",5
1723,"Benton","Missouri",5
1724,"Bollinger","Missouri",5
1725,"Cedar","Missouri",5
1726,"Meagher","Montana",5
1727,"Valencia","New Mexico",5
1728,"Alleghany","North Carolina",5
1729,"Chowan","North Carolina",5
1730,"Mitchell","North Carolina",5
1731,"McHenry","North Dakota",5
1732,"Auglaize","Ohio",5
1733,"Wyandot","Ohio",5
1734,"Craig","Oklahoma",5
1735,"Snyder","Pennsylvania",5
1736,"Susquehanna","Pennsylvania",5
1737,"Union","Pennsylvania",5
1738,"Clay","South Dakota",5
1739,"Meigs","Tennessee",5
1740,"Harrison","Texas",5
1741,"Lynn","Texas",5
1742,"Martin","Texas",5
1743,"Swisher","Texas",5
1744,"Uvalde","Texas",5
1745,"Willacy","Texas",5
1746,"Amelia","Virginia",5
1747,"Pittsylvania","Virginia",5
1748,"Powhatan","Virginia",5
1749,"Hopewell","Virginia",5
1750,"Ferry","Washington",5
1751,"Oneida","Wisconsin",5
1752,"Portage","Wisconsin",5
1753,"Waupaca","Wisconsin",5
1754,"Unassigned","Minnesota",5
1755,"Crenshaw","Alabama",4
1756,"Chicot","Arkansas",4
