"Rank","City","State","Total cases as of 3/30"
2731,"Catron","New Mexico",0
2732,"Colfax","New Mexico",0
2733,"De Baca","New Mexico",0
2734,"Grant","New Mexico",0
2735,"Guadalupe","New Mexico",0
2736,"Harding","New Mexico",0
2737,"Hidalgo","New Mexico",0
2738,"Lincoln","New Mexico",0
2739,"Los Alamos","New Mexico",0
2740,"Luna","New Mexico",0
2741,"Mora","New Mexico",0
2742,"Otero","New Mexico",0
2743,"Quay","New Mexico",0
2744,"Sierra","New Mexico",0
2745,"Torrance","New Mexico",0
2746,"Union","New Mexico",0
2747,"Bronx","New York",0
2748,"Kings","New York",0
2749,"Lewis","New York",0
2750,"Queens","New York",0
2751,"Richmond","New York",0
2752,"Seneca","New York",0
2753,"Yates","New York",0
2754,"Anson","North Carolina",0
2755,"Ashe","North Carolina",0
2756,"Avery","North Carolina",0
2757,"Bladen","North Carolina",0
2758,"Camden","North Carolina",0
2759,"Clay","North Carolina",0
2760,"Gates","North Carolina",0
2761,"Graham","North Carolina",0
2762,"Haywood","North Carolina",0
2763,"Jones","North Carolina",0
2764,"Macon","North Carolina",0
2765,"Madison","North Carolina",0
2766,"Martin","North Carolina",0
2767,"Pender","North Carolina",0
2768,"Richmond","North Carolina",0
2769,"Rockingham","North Carolina",0
2770,"Stokes","North Carolina",0
2771,"Tyrrell","North Carolina",0
2772,"Warren","North Carolina",0
2773,"Yancey","North Carolina",0
2774,"Adams","North Dakota",0
2775,"Benson","North Dakota",0
2776,"Billings","North Dakota",0
2777,"Bottineau","North Dakota",0
2778,"Bowman","North Dakota",0
2779,"Burke","North Dakota",0
2780,"Cavalier","North Dakota",0
2781,"Dickey","North Dakota",0
2782,"Eddy","North Dakota",0
2783,"Emmons","North Dakota",0
2784,"Golden Valley","North Dakota",0
2785,"Grant","North Dakota",0
2786,"Griggs","North Dakota",0
2787,"Hettinger","North Dakota",0
2788,"Kidder","North Dakota",0
2789,"LaMoure","North Dakota",0
2790,"Logan","North Dakota",0
2791,"McKenzie","North Dakota",0
2792,"Nelson","North Dakota",0
2793,"Pembina","North Dakota",0
2794,"Ransom","North Dakota",0
2795,"Renville","North Dakota",0
2796,"Richland","North Dakota",0
2797,"Rolette","North Dakota",0
2798,"Sargent","North Dakota",0
2799,"Sheridan","North Dakota",0
2800,"Slope","North Dakota",0
2801,"Steele","North Dakota",0
2802,"Stutsman","North Dakota",0
2803,"Towner","North Dakota",0
2804,"Traill","North Dakota",0
2805,"Wells","North Dakota",0
2806,"Williams","North Dakota",0
2807,"Adams","Ohio",0
2808,"Guernsey","Ohio",0
2809,"Hardin","Ohio",0
2810,"Harrison","Ohio",0
2811,"Henry","Ohio",0
2812,"Hocking","Ohio",0
2813,"Jackson","Ohio",0
2814,"Meigs","Ohio",0
2815,"Monroe","Ohio",0
2816,"Morgan","Ohio",0
2817,"Morrow","Ohio",0
2818,"Noble","Ohio",0
2819,"Paulding","Ohio",0
2820,"Perry","Ohio",0
2821,"Putnam","Ohio",0
2822,"Scioto","Ohio",0
2823,"Vinton","Ohio",0
2824,"Williams","Ohio",0
2825,"Alfalfa","Oklahoma",0
2826,"Atoka","Oklahoma",0
2827,"Beaver","Oklahoma",0
2828,"Blaine","Oklahoma",0
2829,"Cimarron","Oklahoma",0
2830,"Coal","Oklahoma",0
2831,"Dewey","Oklahoma",0
2832,"Ellis","Oklahoma",0
2833,"Grant","Oklahoma",0
2834,"Greer","Oklahoma",0
2835,"Harmon","Oklahoma",0
2836,"Harper","Oklahoma",0
